original_product,matched_product,cosin_score
6530,4518,0.4514775
6530,2285,0.49689952
6530,561,0.53325427
6530,7837,0.55660886
6530,8086,0.5103213
6530,1309,0.52133065
6530,2742,0.57206774
6530,472,0.4373703
6530,3265,0.50795305
6530,6738,0.48085144
6530,142,0.5538899
6530,6775,0.48225316
6530,6790,0.52691203
6530,4911,0.515346
6530,668,0.4538727
6530,1726,0.51843935
6530,5310,0.449313
6530,2061,0.58631897
6530,2219,0.5212054
6530,5313,0.44381368
6530,7823,0.46584573
6530,6323,0.45283812
6530,8340,0.49961838
6530,2064,0.45176473
6530,5241,0.5158632
6530,4174,0.49689952
6530,6413,0.44195715
6530,6484,0.46412462
6530,6710,0.5123986
6530,8609,0.49926776
6530,1660,0.6134036
6530,6770,0.61820865
6530,2063,0.4619162
6530,2615,0.47658333
6530,3263,0.5400652
6530,6862,0.49961838
6530,5583,0.4616619
6530,552,0.4958113
6530,6827,0.5317384
6530,4467,0.46488628
6530,1003,0.46667072
6530,2218,0.4644089
6530,3481,0.6383748
6530,6235,0.47894153
6530,7026,0.5438566
6530,4648,0.49689952
6530,1658,0.5598936
6530,181,0.46801412
6530,1677,0.5595938
6530,7951,0.4797997
6530,8458,0.52144176
6530,1736,0.48399898
6530,6997,0.43358022
6530,1524,0.5662551
6530,641,0.46423513
6530,426,0.45974576
6530,6830,0.41593775
6530,4500,0.49438542
6530,746,0.43466595
6530,3297,0.46667072
6530,871,0.5357149
6530,6170,0.40203118
6530,1525,0.48459056
6530,473,0.4223139
6530,2338,0.43117946
6530,1166,0.42976862
6530,2192,0.45637593
6530,7189,0.5865058
6530,2065,0.49072397
6530,1810,0.43071067
6530,5851,0.48453346
6530,4171,0.4628094
6530,735,0.45013607
6530,5813,0.46515217
6530,7299,0.47738707
6530,2248,0.44603577
6530,6102,0.46412462
6530,6821,0.4427628
6530,4753,0.53559417
6530,2232,0.48758692
6530,6103,0.5117648
6530,6702,0.54336256
6530,3104,0.5251232
6530,8346,0.44580403
6530,182,0.49412194
6530,508,0.49072397
6530,6791,0.5061941
6530,2182,0.46730152
6530,5324,0.41990173
6530,1615,0.5395346
6530,161,0.5115568
6530,5296,0.45385873
6530,7390,0.401878
6530,884,0.5667802
6530,2226,0.51843935
6530,637,0.5662551
6530,7246,0.57651347
6530,8808,0.48557952
6530,3045,0.53182197
6530,7433,0.49960878
6530,8903,0.5347277
6530,8595,0.5014749
6530,5016,0.5197788
6530,3227,0.50853956
6530,5504,0.48423293
6530,5274,0.40357888
6530,7472,0.4162117
6530,3800,0.63384277
6530,7103,0.4741699
6530,2194,0.4883103
6530,2961,0.5306041
6530,828,0.5373883
6530,5586,0.48453346
6530,2535,0.6466582
6530,7338,0.42990828
6530,5639,0.44388446
6530,590,0.43780407
6530,7357,0.5865058
6530,814,0.57002854
6530,4421,0.48423293
6530,2295,0.5298871
6530,7681,0.46412462
6530,872,0.533705
6530,2271,0.6150455
6530,8457,0.5269415
6530,7100,0.68122286
6530,7707,0.53343946
6530,6829,0.4859518
6530,553,0.4387214
6530,7918,0.47735083
6530,5298,0.46234214
6530,1920,0.47658333
6530,2618,0.46697274
6530,5106,0.4034052
6671,2023,0.7109231
6671,1173,0.68985707
6671,1914,0.43380374
6671,3862,0.6326753
6671,8452,0.43702406
6671,8117,0.41016522
6671,2302,0.40196964
6671,3820,0.4038819
6671,239,0.40598467
6671,867,0.43493575
6671,2125,0.41992655
6671,3897,0.7531773
6671,3101,0.7109231
6671,8395,0.41645834
6671,3234,0.5765622
6671,2544,0.7109231
6671,2053,0.6369073
6671,8651,0.41854858
6671,4965,0.5087788
6671,8554,0.55131584
6671,3426,0.5087788
6671,849,0.43402383
6671,2724,0.57513344
6671,5958,0.41854858
6671,8806,0.4497817
6671,2101,0.72826153
6671,1867,0.8818278
6671,2663,0.4211813
6671,3206,0.42112657
6671,1015,0.401155
6671,803,0.6805154
6671,358,0.43702406
6671,5031,0.5087788
6671,3439,0.5087788
6671,4939,0.73089594
6671,8294,0.67886287
6671,6365,0.46235025
6671,4722,0.6021389
6671,3143,0.401155
6671,8785,0.46235025
6671,8930,0.42112657
6671,960,0.5087788
6671,5304,0.4762996
6671,1862,0.6331552
6671,2487,0.68610734
6671,463,0.49202013
6671,6579,0.76941687
6671,3803,0.401155
6671,8340,0.55131584
6671,3425,0.5087788
6671,3075,0.5087788
6671,3168,0.46235025
6671,603,0.45530695
6671,6163,0.4012904
6671,6862,0.55131584
6671,7032,0.4067021
6671,8612,0.73089594
6671,3129,0.43402383
6671,909,0.6639315
6671,275,0.46235025
6671,2068,0.4424178
6671,3067,0.46235025
6671,8065,0.46235025
6671,3077,0.401155
6671,3779,0.4711571
6671,6424,0.41052595
6671,752,0.6021389
6671,1736,0.5340802
6671,6404,0.5087788
6671,4578,0.71735597
6671,784,0.50683105
6671,3515,0.6021389
6671,4812,0.45530695
6671,4872,0.40524706
6671,4881,0.45530695
6671,696,0.41226566
6671,3957,0.45530695
6671,3893,0.55034983
6671,333,0.68503386
6671,4898,0.4872967
6671,7858,0.68503386
6671,2093,0.401155
6671,3292,0.71735597
6671,602,0.45530695
6671,3853,0.46902445
6671,1588,0.6021389
6671,6702,0.59958637
6671,8346,0.4919331
6671,3043,0.43702406
6671,5108,0.43702406
6671,8327,0.7758075
6671,469,0.4217144
6671,8534,0.69797134
6671,4918,0.43702406
6671,151,0.6527813
6671,2848,0.4497817
6671,7374,0.5588015
6671,1178,0.61284924
6671,2849,0.401155
6671,4886,0.45530695
6671,7330,0.70044726
6671,529,0.48970637
6671,196,0.6351661
6671,3977,0.401155
6671,3215,0.5445957
6671,2055,0.40172157
6671,8381,0.42156938
6671,4649,0.48257026
6671,5176,0.45530695
6671,6706,0.4180284
6671,1532,0.42112657
6671,2078,0.5065058
6671,6576,0.5391081
6671,3992,0.4115632
6671,3573,0.42112657
6671,3093,0.49899587
