original_product,matched_product,cosin_score
6823,8509,0.5287804
6823,5615,0.82104814
6823,973,0.7575321
6823,5845,0.7763587
6823,2862,0.42861634
6823,7715,0.77816504
6823,2263,0.6025883
6823,3300,0.7316612
6823,410,0.52223855
6823,3702,0.81144404
6823,8842,0.50438756
6823,2840,0.39695573
6823,6625,0.80357397
6823,7975,0.8695127
6823,8724,0.7767842
6823,3947,0.7815743
6823,1519,0.7617178
6823,2811,0.5901958
6823,8342,0.71252006
6823,2046,0.76728517
6823,4242,0.79925734
6823,3849,0.8447951
6823,3823,0.7815743
6823,3031,0.6587674
6823,9165,0.8230753
6823,4167,0.78616345
6823,2693,0.7333919
6823,5008,0.7206676
6823,8721,0.48616642
6823,408,0.71607274
6823,5323,0.8406886
6823,7000,0.8478864
6823,2691,0.7349336
6823,327,0.84677494
6823,3128,0.89796174
6823,3724,0.47521758
6823,3618,0.76568234
6823,4686,0.78165567
6823,8184,0.7636193
6823,2209,0.7550675
6823,610,0.512169
6823,8052,0.6779255
6823,873,0.67842937
6823,1898,0.77409995
6823,3738,0.6108669
6823,897,0.4769231
6823,2638,0.58570796
6823,3946,0.67842937
6823,6964,0.86078966
6823,8319,0.82419336
6823,3855,0.81197125
6823,2463,0.5626512
6823,2947,0.79771847
6823,2660,0.78028405
6823,8891,0.7654349
6823,4295,0.7637708
6823,3523,0.8244978
6823,1974,0.77139103
6823,2448,0.6036562
6823,8314,0.5287804
6823,745,0.6268245
6823,206,0.74211466
6823,4557,0.87817144
6823,1016,0.68487334
6823,5367,0.75276566
6823,505,0.7662772
6823,684,0.81740063
6823,2009,0.6954324
6823,3002,0.755128
6823,4030,0.7891058
6823,8187,0.6453798
6823,8108,0.78743523
6823,17,0.79810995
6823,1772,0.8031201
6823,6907,0.53649104
6823,6777,0.55555546
6823,8937,0.67619693
6823,736,0.7524307
6823,3433,0.4659446
6823,5433,0.67208046
6823,5842,0.42861634
6823,3721,0.79353034
6823,8436,0.8214222
6823,8343,0.71252006
6823,3197,0.77226424
6823,1502,0.7801619
6823,3518,0.5791596
6823,7849,0.78743523
6823,2473,0.7786126
6823,5956,0.42861634
6823,7853,0.8266555
6823,3193,0.44355306
6823,4847,0.76555765
6823,2767,0.76590115
6823,4530,0.761286
6823,2839,0.60426295
6823,1927,0.7815743
6823,7083,0.75135875
6823,6680,0.7670118
6823,517,0.77939916
6823,8212,0.49800056
6823,8788,0.8463109
