original_product,matched_product,cosin_score
6823,8509,0.69104093
6823,5845,0.8202719
6823,2263,0.5822066
6823,3300,0.5618254
6823,410,0.61454624
6823,8842,0.5521608
6823,8342,0.7336623
6823,3031,0.42296317
6823,4167,0.50921553
6823,2693,0.64449704
6823,5008,0.5318345
6823,408,0.6439435
6823,7000,0.80037266
6823,2691,0.5056043
6823,3724,0.69623965
6823,8184,0.59957
6823,8052,0.6050033
6823,3738,0.46371534
6823,2638,0.5492292
6823,6964,0.7865566
6823,3855,0.47925302
6823,2463,0.603785
6823,2947,0.5206954
6823,8314,0.69104093
6823,745,0.55866015
6823,206,0.5942969
6823,1016,0.6226003
6823,2009,0.55529314
6823,8187,0.6792015
6823,6907,0.6502529
6823,6777,0.7382136
6823,8937,0.7025526
6823,5433,0.7398925
6823,8436,0.55500233
6823,8343,0.7336623
6823,3197,0.66826075
6823,3518,0.55512285
6823,8212,0.5804286
6823,8788,0.6335055
6823,2145,0.5518913
6823,3778,0.5745536
6823,2787,0.5158609
6823,8533,0.5760199
6823,4784,0.6022166
6823,2449,0.7705842
6823,8321,0.6223603
6823,8593,0.6487593
6823,2682,0.5886184
6823,3907,0.62196946
6823,7992,0.6502529
6823,2022,0.5303659
6823,1627,0.8160114
6823,8667,0.5880681
6823,8398,0.62002313
6823,7972,0.69438845
6823,879,0.5678313
6823,3322,0.50325656
6823,5021,0.5487125
6823,3681,0.59911126
6823,2788,0.5158609
6823,3519,0.8093166
6823,1879,0.4481732
6823,9103,0.55664974
6823,4783,0.6297999
6823,3065,0.6022166
6823,9102,0.6948402
6823,3851,0.6223603
6823,2501,0.54566234
6823,8783,0.6093207
6823,2985,0.66023105
6823,5687,0.65477335
6823,6165,0.51589596
6823,8512,0.68363607
6823,5955,0.8202719
6823,8211,0.7336623
6823,8766,0.78141844
6823,497,0.6020464
6823,9175,0.6716947
6823,4932,0.5655011
6823,1529,0.4907145
6823,7298,0.7382136
6823,7991,0.69104093
6823,6022,0.69307005
6823,8297,0.5601918
6823,3086,0.5970654
6823,2622,0.44984928
6823,2783,0.48437917
6823,7828,0.7336623
6823,1285,0.75800145
6823,8208,0.7336623
6823,3785,0.5235375
6823,2508,0.611469
6823,211,0.4872552
6823,409,0.7336623
6823,8608,0.69104093
6823,6092,0.6251313
6823,8494,0.6502529
6823,395,0.54051435
6823,8740,0.7113688
6823,3474,0.5890936
6823,8731,0.55861765
6823,6784,0.7382136
6823,4846,0.5015808
6823,4012,0.5909468
6823,8295,0.611469
6823,8283,0.6223603
6823,5625,0.6573306
6823,7062,0.62002313
6823,4423,0.54719335
6823,94,0.5942969
6823,3842,0.47555873
6823,8696,0.66895485
6823,3587,0.41941464
6823,8883,0.7037482
6823,2146,0.59266865
6823,3166,0.657927
6823,3416,0.66463494
6823,5180,0.5546906
6823,8904,0.6989719
6823,76,0.57337934
6823,2655,0.56188047
6823,8127,0.8160114
6823,7010,0.56264865
6823,2509,0.5889376
6823,8672,0.76406825
6823,7388,0.6502529
6823,1373,0.5634473
6823,2854,0.6002323
6823,3033,0.4700638
6823,8509,1.0
6823,5845,0.45265022
6823,2263,1.0
6823,3300,0.76240206
6823,410,0.76240206
6823,8842,0.7699175
6823,8342,1.0
6823,2693,1.0
6823,4167,1.0
6823,5008,1.0
6823,3031,0.76240206
6823,2691,0.7699175
6823,408,0.76240206
6823,7000,1.0
6823,8184,1.0
6823,3724,1.0
6823,8052,1.0
6823,3738,1.0
6823,2638,1.0
6823,3855,1.0
6823,6964,0.45265022
6823,2463,1.0
6823,2947,1.0
6823,8314,1.0
6823,1016,0.76240206
6823,745,1.0
6823,206,1.0
6823,2009,0.76240206
6823,8187,0.7699175
6823,6907,0.7699175
6823,6777,1.0
6823,8937,1.0
6823,5433,1.0
6823,8343,1.0
6823,8436,1.0
