product_id,product_shopify_id,product_type_id,size_and_fit_id,product_catagory,product_vendor_id,product_availability,published_at,product_thumbnail,product_title,product_handle,product_description,product_notes,status,status_for_sale,status_for_sale_nonsubscriber,tagging_status,style_image,created_by,updated_by,created_at,updated_at,added_by,hide_product,has_cleaning_category,gtin,mpn,discount_automation,review_id,product_banjo_id,product_id,internal_product_id,customer_id,user_id,img_link,title,text,sizeandfit_id,stars,rentedfor,usualsizeID,sizeworn,reviewDate,person_name,priority,helpful,state,show_status,timestemp,img_link_s3,TotalReactions
147,1517825294388,1,0,1,31,0,2018-12-26 09:29:42,be-mine-faux-fur-jacket-minkpink-wine-c44-1.jpg,BE MINE FAUX FUR JACKET,be-mine-faux-fur-jacket,IyMjc2l6ZQo8dWw+CjxsaT5SdW5zIHRydWUgdG8gc2l6ZTwvbGk+CjxsaT5Nb2RlbGVkIGluIHNpemUgWFM8L2xpPgo8bGk+TW9kZWwgaGVpZ2h0IDUnOCI8L2xpPgo8L3VsPgojIyNkZXRhaWwKPHA+VGhpcyBmYXV4IGZ1ciBqYWNrZXQgd2lsbCBoYXZlIHlvdSBzY29yaW5nIGNvbXBsaW1lbnRzIGFsbCBkYXkgYW5kIGFsbCBuaWdodCHCoDwvcD4KPHVsPgo8bGk+U2VsZiAmYW1wOyBMaW5pbmc6IDEwMCUgcG9seTwvbGk+CjxsaT5GYXV4IGZ1cjwvbGk+CjwvdWw+CiMjI3JldGFpbAo8cD4xODc8L3A+CiMjI3NhbGUKPHA+RmluYWwgc2FsZSwgbGlrZSBuZXcgY29uZGl0aW9uPC9wPg==,these BLEED!!,2,2,2,1,,\N,632,2018-12-24 23:26:36,2024-02-22 15:08:36,,0,1,0,\N,1,52678,147,1517825294388,147,132785,2689717567540,uploads/Minkpink-Be-Mine-Faux-Fur-Jacket--(-25-Reviews-)-FashionPass-Review-12_1582806800.jpg,Stunner,Absolutely love this jacket. Currently debating to buy it or to just rent again. Its actually super warm for such a trendy piece. Highly recommend!,1,5,Wedding,XS (0),XS,2020-02-27,Tara,0,0,,1,2020-02-27 04:33:20,review_uploads_compressed/Minkpink-Be-Mine-Faux-Fur-Jacket--(-25-Reviews-)-FashionPass-Review-12_1582806800.jpg,0
2572,3710771953716,2,0,1,109,0,2019-06-13 15:52:02,whatifmaxi-stillwater-black-1.jpg,WHAT IF MAXI,what-if-maxi-1,PG1ldGEgY2hhcnNldD0idXRmLTgiPjxzcGFuPiMjI3NpemU8L3NwYW4+Cjx1bD4KPGxpPlJ1bnMgdHJ1ZSB0byBzaXplPC9saT4KPGxpPk1vZGVsZWQgaW4gc2l6ZSBYUzwvbGk+CjxsaT5Nb2RlbCBoZWlnaHQgNSc4IjwvbGk+CjwvdWw+CjxzcGFuPiMjI2RldGFpbDwvc3Bhbj4KPHA+WW91J2xsIGJlIHN1cmUgdG8gdHVybiBoZWFkcyBpbiB0aGlzIHN0dW5uaW5nIGRyZXNzISBGcm9tIHRoZSBjb2xvciB0byB0aGUgY3V0LCB3ZSBhcmUgaW4gbG92ZSBhbmQga25vdyB5b3Ugd2lsbCBiZSB0b28uwqA8L3A+Cjx1bD4KPGxpPlNhdGluIFJheW9uPC9saT4KPGxpPlNpZGUgc2xpdDwvbGk+CjxsaT5IaWRkZW4gYmFjayB6aXBwZXI8L2xpPgo8L3VsPgo8c3Bhbj4jIyNyZXRhaWw8L3NwYW4+CjxwPjI0MjwvcD4KPHNwYW4+IyMjc2FsZTwvc3Bhbj4KPHA+RmluYWwgc2FsZSwgbGlrZSBuZXcgY29uZGl0aW9uPC9wPg==,,1,1,1,1,,\N,632,2019-06-13 22:46:18,2024-03-19 14:04:46,,0,1,0,\N,1,52677,2572,3710771953716,2572,132785,2689717567540,uploads/Stillwater-What-If-Maxi--(-19-Reviews-)-FashionPass-Review-9_1582806529.jpg,RENT THIS,Absolute stunner. Wore to a black tie wedding and engagement shoot. Received so many compliments and just felt flat out amazing in this. Cant wait to rent in more colors :),1,5,Wedding,XS (0),XS,2020-02-27,Tara,0,0,,1,2020-02-27 04:28:49,review_uploads_compressed/Stillwater-What-If-Maxi--(-19-Reviews-)-FashionPass-Review-9_1582806529.jpg,0
2864,3801168674868,2,0,1,3,0,2019-08-14 00:00:00,double-layer-mesh-turtleneck-free-people-black-808-1.jpg,DOUBLE LAYER MESH TURTLENECK,double-layer-mesh-turtleneck,IyMjc2l6ZQo8dWw+CjxsaT5SdW5zIHRydWUgdG8gc2l6ZTwvbGk+CjxsaT5Nb2RlbGVkIGluIHNpemUgWFM8L2xpPgo8bGk+TW9kZWwgaGVpZ2h0IDUnNyI8L2xpPgo8L3VsPgojIyNkZXRhaWwKPHA+VGhpcyBzbGltLWZpdHRpbmcgc2lsaG91ZXR0ZSBnaXZlcyBvZmYgc3VsdHJ5IHZpYmVzIHRoYXQgbWFrZSB0aGlzIHRvcCBncmVhdCBmb3IgYSBkYXRlIG5pZ2h0ITwvcD4KPHVsPgo8bGk+MTAwJcKgTnlsb248L2xpPgo8bGk+U2hlZXIgc2xlZXZlc8KgPC9saT4KPGxpPlNoZWVyIGJvZHnCoDwvbGk+CjxsaT5TdHJldGNoIGZpdDwvbGk+CjxsaT5TbG91Y2h5IG5lY2s8L2xpPgo8L3VsPgojIyNyZXRhaWwKPHA+MTg3PC9wPgojIyNzYWxlCjxwPkZpbmFsIHNhbGUsIGxpa2UgbmV3IGNvbmRpdGlvbjwvcD4=,THESE HOLD ODOR!,2,2,2,1,,\N,632,2019-08-15 01:36:37,2024-01-10 15:18:25,,0,1,0,\N,1,52665,2864,3801168674868,2864,126042,1064608727092,uploads/Free-People-Double-Layer-Mesh-Turtleneck-FashionPass-Review-7_1582775799.jpg,Super cute!,"I loved this shirt, great for work! (Im a hairstylist)",1,5,Fun,S (4),M,2020-02-26,Tiffinie,0,0,,1,2020-02-26 19:56:40,review_uploads_compressed/Free-People-Double-Layer-Mesh-Turtleneck-FashionPass-Review-7_1582775799.jpg,0
584,388539088933,2,0,1,13,0,2017-11-19 00:00:00,everleigh-crop-top-fashionpass-beige-bb2-1.jpg,EVERLEIGH CROP TOP,everleigh-crop-top,IyMjc2l6ZQo8dWw+CjxsaT5SdW5zIHRydWUgdG8gc2l6ZTwvbGk+CjxsaT5Nb2RlbGVkIGluIHNpemUgUzwvbGk+CjxsaT5Nb2RlbCBoZWlnaHQgNSc3IjwvbGk+CjwvdWw+CiMjI2RldGFpbAo8cD5Zb3UgY2FuJ3QgZ28gd3Jvbmcgd2l0aCB0aGlzIG9oIHNvIGNoaWMgY3JvcC4gV3JhcCBhcyBwaWN0dXJlZCBvciB0aWUgd2l0aCBhIGxhcmdlIGJvdyBpbiB0aGUgY2VudGVyLiBQZXJmZWN0IGZvciBicnVuY2gsIGRhdGUgbmlnaHQsIGFuZCBldmVyeXRoaW5nIGluIGJldHdlZW4hwqA8L3A+CiMjI3JldGFpbAo8cD41ODwvcD4KIyMjc2FsZQo8cD5GaW5hbCBzYWxlLCBsaWtlIG5ldyBjb25kaXRpb248L3A+,,2,2,2,1,,\N,632,2017-11-20 06:58:12,2024-01-10 15:18:25,-,0,0,0,\N,1,52664,584,388539088933,584,126042,1064608727092,uploads/Fashionpass-Everleigh-Crop-Top-FashionPass-Review-5_1582775740.jpg,Adorable!,I wrapped it around and tied it on the side instead which I loved!,1,5,Vacation,S (4),M,2020-02-26,Tiffinie,0,0,,1,2020-02-26 19:55:41,review_uploads_compressed/Fashionpass-Everleigh-Crop-Top-FashionPass-Review-5_1582775740.jpg,0
2360,1703272546356,2,0,1,102,1,2019-05-06 07:00:00,kenyafestivalskirt-xixpalms-victoriagardens-1.jpg,KENYA FESTIVAL SKIRT,kenya-festival-skirt,PHNwYW4+IyMjc2l6ZTwvc3Bhbj4KPHVsPgo8bGk+UnVuc8KgU21hbGw8L2xpPgo8bGk+TW9kZWxlZCBpbiBzaXplIDEvWFM8L2xpPgo8bGk+TW9kZWwgaGVpZ2h0IDUnMTAiPC9saT4KPC91bD4KPHNwYW4+IyMjZGV0YWlsPC9zcGFuPgo8cD5UaGlzIHNraXJ0IGlzIHNvIGN1dGUgZm9yIGJydW5jaCB3aXRoIHlvdXIgZ2lybHMgb3IgZHJlc3NlZCB1cCBmb3IgYSBuaWdodCBvdXQuIEl0IGRvZXMgcnVuIGEgbGl0dGxlIHNtYWxsLCBzbyB3ZSBzdWdnZXN0IHNpemluZyB1cCEgUGFpciBpdCB3aXRoIHRoZSBLZW55YSBLbm90IFRvcCB0byBjb21wbGV0ZSB0aGUgbG9vayE8L3A+Cjx1bD4KPGxpPjEwMCUgUmF5b248L2xpPgo8bGk+U2lkZSBaaXBwZXIgQ2xvc3VyZTwvbGk+CjwvdWw+CjxzcGFuPiMjI3JldGFpbDwvc3Bhbj4KPHA+ODY8L3A+CjxzcGFuPiMjI3NhbGU8L3NwYW4+CjxwPkZpbmFsIHNhbGUsIGxpa2UgbmV3IGNvbmRpdGlvbjwvcD4=,,2,2,2,1,,\N,632,2019-05-07 07:06:52,2024-01-10 15:18:25,,0,1,0,\N,1,52663,2360,1703272546356,2360,126042,1064608727092,uploads/Xix-Palms-Kenya-Festival-Skirt-FashionPass-Review-12_1582775653.jpg,Love love love,This skirt was comfy and cute and classy at the same time. Loved it!,3,5,Vacation,S (4),2/S,2020-02-26,Tiffinie,0,0,,1,2020-02-26 19:54:14,review_uploads_compressed/Xix-Palms-Kenya-Festival-Skirt-FashionPass-Review-12_1582775653.jpg,0
3389,4431569616948,2,0,1,3,0,2019-12-23 00:00:00,zuma-sweatshirt-1-free-people-black-052-1.jpg,ZUMA SWEATSHIRT,zuma-sweatshirt-1,IyMjc2l6ZQo8dWw+CjxsaT5SdW5zIHRydWUgdG8gc2l6ZTwvbGk+CjxsaT5Nb2RlbGVkIGluIHNpemUgWFM8L2xpPgo8bGk+TW9kZWwgaGVpZ2h0IDUnMTAiPC9saT4KPC91bD4KIyMjZGV0YWlsCjxwPlRoZSBwZXJmZWN0IGNyb3BwZWQgc3dlYXRlciBmb3IgcnVubmluZyBlcnJhbmRzIGluIG9yIHRocm93aW5nIG92ZXIgeW91ciB3b3Jrb3V0IGNsb3RoZXMhwqA8L3A+Cjx1bD4KPGxpPjU3JSBQb2x5ZXN0ZXIsIDMyJSBQb2x5ZXN0ZXIsIDExJSBSYXlvbjwvbGk+CjxsaT5XaWRlIG5lY2s8L2xpPgo8bGk+Um91bmRlZCBoZW08L2xpPgo8bGk+Q3JvcHBlZDxicj4KPC9saT4KPGxpPkRvbG1hbiBzbGVldmVzPC9saT4KPGxpPldhc2hlZCBkZXNpZ248L2xpPgo8L3VsPgojIyNyZXRhaWwKPHA+MTg3PC9wPgojIyNzYWxlCjxwPkZpbmFsIHNhbGUsIGxpa2UgbmV3IGNvbmRpdGlvbjwvcD4=,,2,2,2,1,,\N,632,2019-12-24 04:07:06,2024-01-10 15:18:25,,0,0,0,\N,1,52662,3389,4431569616948,3389,126042,1064608727092,uploads/Free-People-Zuma-Sweatshirt-FashionPass-Review-4_1582775581.jpg,Almost bought it!,I freaking love this sweatshirt I wore it so much on a little trip to SoCal!,1,5,Vacation,S (4),M,2020-02-26,Tiffinie,0,0,,1,2020-02-26 19:53:02,review_uploads_compressed/Free-People-Zuma-Sweatshirt-FashionPass-Review-4_1582775581.jpg,0
1148,11526130119,2,0,1,33,0,2017-10-29 14:37:40,mattison-skirt-bb-dakota-black-637-1.jpg,MATTISON SKIRT,mattison-skirt,IyMjc2l6ZQo8dWw+CjxsaT5SdW5zIHRydWUgdG8gc2l6ZTwvbGk+CjxsaT5Nb2RlbGVkIGluIHNpemUgUzwvbGk+CjxsaT5Nb2RlbCBoZWlnaHQgNSc4IjwvbGk+CjwvdWw+CiMjI2RldGFpbAo8cD5BIG11c3QgaGF2ZSBhZGRpdGlvbiBmb3IgZXZlcnkgY2xvc2V0LCB0aGXCoHZlcnNhdGlsZcKgTWF0dGlzb24gbWF4aSBza2lydCBoYXMgcXVpY2tseSBiZWNvbWUgb25lIG9mIG91ciBmYXZvcml0ZXMhIFBhaXJlZCB3aXRoIGEgY3V0ZSBjcm9wIG9yIG92ZXItc2l6ZWQgc3dlYXRlciB5b3UgY2FuJ3QgZ28gd3JvbmcuwqA8L3A+Cjx1bD4KPGxpPlNpZGUgc2VhbSBzbGl0czwvbGk+CjxsaT5SaWJiZWQgbWF0ZXJpYWwgd2l0aCBlbGFzdGljIHdhaXN0IGJhbmQ8L2xpPgo8bGk+VW5saW5lZMKgPC9saT4KPC91bD4KIyMjcmV0YWlsCjxwPjU1PC9wPgojIyNzYWxlCjxwPkZpbmFsIHNhbGUsIGxpa2UgbmV3IGNvbmRpdGlvbjwvcD4=,,2,2,2,1,,\N,632,2017-10-12 23:22:03,2024-01-10 15:18:25,-,0,0,0,\N,1,52661,1148,11526130119,1148,126042,1064608727092,uploads/Bb-Dakota-Mattison-Skirt-FashionPass-Review-1_1582775507.jpg,Cute!,"Great little skirt, I loved it!",1,5,Fun,S (4),S,2020-02-26,Tiffinie,0,0,,1,2020-02-26 19:51:47,review_uploads_compressed/Bb-Dakota-Mattison-Skirt-FashionPass-Review-1_1582775507.jpg,0
2844,3797357985844,2,0,1,116,1,2019-08-12 00:00:00,camila-sweater-heartloom-feather-85c-1.jpg,CAMILA SWEATER,camila-sweater,IyMjc2l6ZQo8dWw+CjxsaT5SdW5zIHRydWUgdG8gc2l6ZTwvbGk+CjxsaT5Nb2RlbGVkIGluIHNpemUgWFM8L2xpPgo8bGk+TW9kZWwgaGVpZ2h0IDUnNyI8L2xpPgo8L3VsPgojIyNkZXRhaWwKPHA+QSBzdXBlciBmbGF0dGVyaW5nIHRvcCB0aGF0IHdlJ3ZlIGFsbCBiZWVuIGxvb2tpbmcgZm9yIGFzIHdlIHRyYW5zaXRpb24gZnJvbSBzdW1tZXIgdG8gYXV0dW1uITwvcD4KPHVsPgo8bGk+NzQlIEFjcnlsaWMgMjIlIFBvbHllc3RlciA0JSBMeWNyYTwvbGk+CjwvdWw+CiMjI3JldGFpbAo8cD4xODc8L3A+CiMjI3NhbGUKPHA+RmluYWwgc2FsZSwgbGlrZSBuZXcgY29uZGl0aW9uPC9wPg==,,2,2,2,1,,\N,13,2019-08-13 00:39:41,2024-01-21 12:58:30,,0,0,0,\N,1,52660,2844,3797357985844,2844,126042,1064608727092,uploads/Heartloom-Camila-Sweater-FashionPass-Review-3_1582775460.jpg,Super comfy!,"Loved this sweater, so comfy!",1,5,Fun,S (4),S,2020-02-26,Tiffinie,0,0,,1,2020-02-26 19:51:01,review_uploads_compressed/Heartloom-Camila-Sweater-FashionPass-Review-3_1582775460.jpg,0
2892,3813097046068,3,0,2,125,0,2019-08-22 00:00:00,jolie-cz-drop-earrings-natalie-b-gold-185-1.jpg,JOLIE CZ DROP EARRINGS,jolie-cz-drop-earrings,IyMjZGV0YWlsCjxwPkEgbGl0dGxlIGJsaW5nIGZvciB5b3VyIGV2ZXJ5ZGF5LiBUaGUgSm9saWUgQ1ogRHJvcCBFYXJyaW5ncyByZWRlZmluZSBzdGF0ZW1lbnQgZWFycmluZ3MhwqA8L3A+Cjx1bD4KPGxpPjE0ayBnb2xkIHBsYXRlZCBlYXJyaW5nczwvbGk+CjxsaT5TdGVybGluZyBlYXIgd2lyZXM8L2xpPgo8bGk+QXBwcm94LiAyIiBpbiBsZW5ndGg8L2xpPgo8L3VsPgojIyNyZXRhaWwKPHA+MTg3PC9wPgojIyNzYWxlCjxwPkZpbmFsIHNhbGUsIGxpa2UgbmV3IGNvbmRpdGlvbjwvcD4=,,2,2,2,1,,\N,632,2019-08-23 04:42:36,2024-01-10 09:23:56,,0,0,0,\N,1,52659,2892,3813097046068,2892,126042,1064608727092,uploads/Natalie-B-Jolie-Cz-Drop-Earrings-FashionPass-Review-3_1582775385.jpg,Gorgeous,These were so pretty!,0,5,Fun,,--,2020-02-26,Tiffinie,0,0,,1,2020-02-26 19:49:46,review_uploads_compressed/Natalie-B-Jolie-Cz-Drop-Earrings-FashionPass-Review-3_1582775385.jpg,0
51,1443004547124,2,0,1,3,0,2018-09-29 00:00:00,all-dolled-up-top-free-people-poppy-combo-62e-1.jpg,ALL DOLLED UP TOP,all-dolled-up-top,IyMjc2l6ZQo8dWw+CjxsaT5SdW5zIHRydWUgdG8gc2l6ZSAocmVmZXIgdG8gNHRoIGNsb3NlIHVwIHBob3RvIGZvciBiZXN0IGNvbG9yIHJlcHJlc2VudGF0aW9uKTwvbGk+CjxsaT5Nb2RlbGVkIGluIHNpemUgWFM8L2xpPgo8bGk+TW9kZWwgaGVpZ2h0IDUnOCI8L2xpPgo8L3VsPgojIyNkZXRhaWwKPHA+V2UgYXJlIGZlZWxpbmcgYWxsIG9mIHRoZSA3MHMgdmliZXMgaW4gdGhpcyBmbG9yYWwgdG9wISBUaGlzIHNlbWktc2hlZXIgYmxvdXNlIGlzIHN1cmUgdG8gZ2V0IHlvdSBhbGwgb2YgdGhlIGNvbXBsaW1lbnRzLsKgPC9wPgo8dWw+CjxsaT45MiUgTnlsb248L2xpPgo8bGk+OCUgU3BhbmRleDwvbGk+CjwvdWw+CiMjI3JldGFpbAo8cD43ODwvcD4KIyMjc2FsZQo8cD5GaW5hbCBzYWxlLCBsaWtlIG5ldyBjb25kaXRpb248L3A+,,2,2,2,1,,\N,632,2018-09-30 04:52:44,2024-01-10 15:18:25,,0,1,0,\N,1,52658,51,1443004547124,51,126042,1064608727092,uploads/Free-People-All-Dolled-Up-Top-FashionPass-Review-14_1582775346.jpg,Love the colors!,Such a classy and beautiful shirt!,1,5,Fun,S (4),S,2020-02-26,Tiffinie,0,0,,1,2020-02-26 19:49:07,review_uploads_compressed/Free-People-All-Dolled-Up-Top-FashionPass-Review-14_1582775346.jpg,0
